Plain_text,Cipher_text
"like 2 weeks ago and it's going as terribly as i remember, but deg is still hilarious so it's ok",a7474c5b2f09de159c5f430d2b32ddec26c450c7a0e2c8271a9d4ae7256458927cd1eac42613f9d67e68d793872a239666996f6e651f32e53083ccc3899a72ee5ccee7a809f722a86ca4566206f81e9962662460cb978332aa63b7316e5e96b2e1b0b891578f249aac9854dd273e17b5
"literally never about that account, love it.",72b111f4fc082c60e9c238f704a05aef3faa0d5bbfc89b102e540a6617a4df94562fc71d65d9a9f30483801f42bf58ff
answer me this fellow apple peoples: how many times in the past year have you used the escape key?,0aeb7ead2030982709c41c88a25e4d621acb579d3a315f965fc5735eaad2dbaece8ad08e1850d628067f1c7216fee68986a30209f9d548d168f7a1257a9153780ddf54ee6c22140f3159d1afcde3807ba8827fc1879255314fd48235969f4fd3471db7928847966f3a7b77e1dbad6ce4
about 50 times today. terminal vim user.,5f9b9c3b9ff07772a426f07c711c5e47ce200f10e82c7a52d420b02768267bcd3b88be76083c78e4957f1427dcf3c3ea
seems the major complaints so far are from vim users like yourself. im wondering how force quit is gonna work.,96750ef105f1732fcacc9b556cd392dfb0e0190e5d5ccc3f58d86143294023d2cbb3fa534c2790d41eb573a1aba2c8c2eedc270218537db6901e3da6eb92ed247c1ca0309ccc2ffe9fbe15b9a669d4b7cb4a84481040bee32a3348404e7053c8dbe04d6eb9a5b91162b2d11c77037ea4
cmd+opt+esc is good but still available via menubar,e9e8c1a2e275aede92f1720e30ce7c7fe981cde71674dcc9349993f042c9da8af331366a6cc5ca57e64641f1e70ae7dd917cec224a279ab0a5ec7e7d1485908c
there was a greasy kid at highline who was basically miles dipped in a bucket of ranch,c4e5a8cafedf11de66893c550c706bc09906e3828616e1041c7f72de8d2892463c76e3a596c24a0fb04de547b0ba7937b4efaa66355681a19e6a6083e63c2b5739e07e86fdc24462de13cab45eb477a7280aab364effd7ca88852858da228fd8
i'm disgusted,28854ddec75e3f229610cd36a189dccc
he flashed us then we scored so he sadly put his shirt back on #fuckhighline,3883d39ca77c14960ab4113433bbb231cebdf3978baf8da61e6aebb196cfe46c7e6694627bfd785f79434ff28bdd0fc7cf1d9d331452df1354682a94cf85668a26a78955a932b6d82e41a4012efb5280
what a piece of shit,78178f60a2c84269ff4989492b6e1ac655a91d4f9a91431a6bc509195c7a752c
i killed a mouse today!,07a4e6c4f26800ff8a6768dca5ad53492c9a76cdb9f8696bee4576b89dc40b4e
"yay, you great hunter. ive killed lots of lizards and bugs but never a mouse.",9d900996d8718fa254ea6ceb1a961af51edb618e168f3fe7d8b026f1987de17b8ad49dbb71d73b422471985fa7e082946832cfa2ac18ba8fb7a198046d08d6d21c3a7e1d82711cb1ca90e6f57870fc45
i don't know what the mouse was thinking??  why come into a house with 2 ferocious felines??,91f43ec27662382875ca131abb83ab379ace3407a94b5d394e2a452b276a250947d5638d0112effa7e560b3a22c2e4a89a953f56e97ef095066ea5a54c5282d286387ab77d6e8c36216c7604bababb40cc77ba9334f59b0324cc38a89b57c187
and then that mouse had the nerve to try to eat our kibble!  let this be a lesson fur all the other mousies!,8f1c9fa1d111024e50f817835748ef9c53866045ebe9741fdb17ec87398b31e81ff52c4c81a5f838e5af2212f0170467a0f9d9ecac2a7f2cc4e239bbe04c22048c085b53e2733c9fe793f5dc0d56d9429ca53c54ae9ecb6d28d09bcf2b335809784e2efc54f857c725344b732929aba4
what day are you coming to effie??,34c108a58fe974ef5b10c4313a55bdbb8a63653a219ecb1fef93b66cd66a4c028948996e7410b6f58dd5c98f89ff0701
tomorrow,98c466988f0d9f9ed1383cb9bb9d553e
im leaving today once i get off work,731b638ab760b404b27adba57d7e8894406d9f28f5f1b79ec202e0217b0d69b1ff0c6dee24022d45e017706f1922a0b8
make sure i have a bed and seat saved next to you!,e8aa650de6a1a07e1b3f4bc951e4fe4b00e6d7867255ab35157a7ce33c64f0381b80516446ffcef6bc60e6c423506b159cb63ff20ee79a22c5798939e7155875
avi  hey boo,21f7b494209e6d945fc111722ff5254a
wassup shorty.,7979b1cdb992509191864dbd1318c600
you're beautiful ma !,17c2ae9ec703757891edf955d7161220e301fdc91fb2be43c6066c24f123315a
"appreciate that shorty, you too.",56f32ba9bf4e2486d15bfbef910920e8f83a6ec7fe47b3fd62e616947589b4266f71cfdb9372fb90cd119a66c7547439
does anyone have white spandex,1917d9fcf4a85920b34b58daaac3f08add6509723186ac73b37dca65e472c5e2
yea,ae17036e067da7c672d91cb3a57c68d2
bet lemme borrow them,d9031c00b2d99d67e7ab7361432a9c5467d2a9a1b6374f6c960a4109b71b9418
gotchu,033e7cd924987976eefba46d1231bd9e
what's going on fooly how u been doing,3d097f66cdbb09874410e5d4c5d37cb869a9b160e168be795cc1810e497bf0781e2b798fb833f2e62b367eab08c7ac13
good  wby,4a30887a6ace2b14c857a275350b0309
working other than that living life you kno how that goes,6454b3530b77f07e5df35a9b7abec4ddf73d3886871a81c99cbf279f512652d29c856198f31fac9a31057fea3b818a3c3bd06216240a2dc2aa6c95641fcd68be
that's wassup,9e73adb05f2c741375a448fed6210647
my take on new rule - doesn't go far enough. cup drivers will still dominate nxs. but happy they are out for chase races #smallvictories,8e59c2dabbd9da302f5146844f29f4c8a9c87ccf9f52d7e404b0108efd4a4b2d78a8f6984cf3e72e209fc07d4809e942b521c58d83882254bd86db73d908e489238aba066ddfcfba621ce2e253d734a32631e875a1cf7ae9d008394771f0a2bebfd34c027d58205d18f53da209e5e4b61a546efa49d39189b7039b788b7cca9e501e17fb7442f9e37bb0836db1f0aff3
and the dash for cash races too,3057107b7d4afd7c2d6aa5ed31179e8595800ef44b78c415199fdeb47bb68bbb
yes - although most (or some) of those are stand-alones anyway,5e80b09f846d9a83384c700e521249f04ff7d78de9d452b7abb4182668a3100040a0a711aeb98786ee732a654ab849e68d5bd55e02cec6fd61c920242656dd42
do you think this wouldve happened anyway if it was another driver stinkin it up like kyle has recently?,773c0d27b5685f0b4cadf563c52b976400209381b605706f96b1311e525c511480c48588351c96fbfa47deb39ed3464dc5d9b7e40615e9df97a2829f0d217c06a9fda43bb8102800df6bd20a84a1fc4a7cc91f95407ced77b069466efb04c1c8b2e632056760d91e60bc16307a547c60
"ernie lost a bit of my respect too, just when you think hey this white guy gets it.... nope",254187bb18e5efdd9b98b53d4ccadf011216d598673a56f084eccf85bbfc8b2c1fe096143f2f1c2649d497fbd8709831e1cb30db73657656e812d8e09bcbbca01f54d59f60854a5f86a1692d2e23a8fe515dee766502fdc05176889f1ca5d9e6
what did these niggas say,05730d48662a966437a3e91aecda9506b1f092b2083ddf492dab99e1c50e6db6
"kennys black, not for him. then ernie joins in ""i'd never, it's time to stand together we'll never be perfect so don't kneel""",ead135f6dd7b978148498e093b75f1edb2ee3cb0369f1dc9a215da9ab1b8dd66ad0ce6b628d20671f319751bdac3842fb5d3c6ff48721b2219780c869a24377b7b0aaf2d72b0e9580e2d785357cfb2a8e6a0778833d291d9d3df5d9e35a87a7876a3b94482cd5646a26f2d6fd9184a96be5367983bf79c865ee40e7dc03fb823
kenny's wife is white on top of that. u not gonna tell me u put a flag over the color of your skin.,b65c3380141d036c2faf63bdf624e6cf1465e6e2937a4b3fb5c0c8f617cec203431967370ae552fd599b1e678b822cf877948fbdde6d722cff5879ffe4e930563a0b115d0b69c11966b83ed53137ea3ba3b6051614cacb0c0a9f6149897e518c6fdc98f8e91d8535320ee0d4b66d096f
i'll be back cute in 2 weeks,c3dc4bd4fbf8085792b0d324266e77c69d0e958ada6033bef00ae3bb02047a7c
u cute now,b8b86d72a7b1cfc7e7f9f538770b2525
on the with irs,6a6033b7fa402a8dc1bad10113ad4558
any hot chicks wanna let me touch their but today?,fa9cbd2cabc198725702ff7c1724419ec1286316fee655c2f987dff8ca445203f499492956f2ccd90c43af3f2eaba4e730c3c10060539977ce22cc06ade0e9e9
i got u,b98c451198f74071455c447cb684a9b8
i havent groped that ass in a while i need dat,17cb9ed7e032f1d6cd40cdb70c73ef75cbbb7a372cf0e35518723a0d13ededd925c3aedce7c74332b7923bb8019f025f
lmfao,afc67776275c29ab594a411c902cff06
so much to do before leaving for d.c. ahhh,ace8575aa63d50d59959ed22b2e9a92d39da0c33b1fb877d2e0ed94dce17d20bf184bb860fee2346c82b4cd36a33c90c
i have stuff here,6e0fe66ed8758e772426382abd32c190cd46f43bbcabd3e7b1ae9cb62e6b435a
???,e72c9a0bcbcc7a3cc6c121eba85c4a47
like if you forget to pack something,6b9baed017318c155ee1658080fed617aaeef7ead791263b1c78a313be47c30772ccb4d2a15cb239230820192d937be6
"white girls singing about ""niggers"" stealing shouldn't have had to face any repercussions? .....",2490f3efe52242a2a069a79cdbd529caabfc82e560fe0001b485b6206532f8ba3bbae614cb80342e902152fc4cd09daf19e509616a9fb82fd3907dca150c844eb58a66d929ef9e75c552ce8d11a623d3a342e98f830e1c41abceed72e548797680dd5bbbe24182f36b6a3a13fc98433a
nope bc evidently it was 1) a famous vine they repeated 2) there was no malicious intent 3) it was all freaking jokes,18cc706d904f2be33d76e0ed7b285266fe2b1e523f4edf82863e1bd6dd6f092243e3d23524cc72b3bccbba09d8c6a3f5342b374af8d85c9ec572cb6e3f6e9b0895ec4a490d223930295249cf43e3133c2f9cc600e91145f5a4a381399cd9b64b27c5d1bcc144e3e7675197d9ce444c3c88210d8be834b4e3052bf6ad17fa023c
they're not 5 year olds. them repeating what they heard isn't an excuse. it does not matter if there was malicious intent.,12257bde0ade95b5efbbb4ad9db9fb844fee1775cc6d255aebd3f54e45c489f6b22ae8b8cd1ea76f18ba10c6874b3c95e8494f2c7cb341f3012d5e6ef5090f9e0e3b34f9d723a9ffa1acab2af0f762e1bb640d337334dea37bb6f0095db694c933b4d4fcb17a43face946301c596dce8243b5f44f0320e034de2718047622ba1
"of every race say that word all the time to their friends. there should've been no repercussions, if there had to be then",9c8a24bd44baa62c8a3b332779484dfcdba4cebb2ef1d4403a5424f68854e56bd7ff80be5dbeec89850a2068ec17510dd7f005fd1b95e7b6b5b5bebb79fe1610b79cb8bdf976bfb66e9405a9a985f1e38eeeac2b27b96c6e4cb9142c53b6990dadb088a279b7f84934b083ac93491faf54ce345f47b2dafa0b42974762b335b6
okay so i know we've had our differences on pineapples on pizza in the past but there's something else that needs attention... eggnog,ea2bc6237917a46f78d63deb8f5f00e6b15a8e0c212057a27b2fad5f7e6547081e48fd4a71ffe81517fa1e7f74836787207e8054776d6ca43285e8c9061635ec98bc5f371f6036f1204fdac9bfe67547d42b640dab06320d161fa8969e240fed824de35d69797d334ac77658918550e85bc187c55490dc114715e7d3667afd454570f26c1459d7393999833d150a6deb
i fucks with coquito thoughhh. which is prob the same thing but who cares it sounds better lmao,dab58f195b9b1ac6d6995f56ae602dce169696f6d3e459856f7a805b93113ad1cda8efeb050d1617dc5ed0098e382b2185391c23f2d8c06b8cc6fcea73fbf27addd534006fa3243502f359373073c4d9346af9a19607025f4e98c6cb1d28b802
what in the tits is a coquito,cceb34902ab6c685f003dbcf774b8110e6a153af84bc70c0a4dad45d3e38cde7
puerto rican eggnog shit is f i r e,0eeebe108f7d39e64ad5976d33c52cc45766a225a8f2f7db7f3aacad1e97d7949c7b531cc9e7bfc3bf4c5d864fb1b37c
just riding these ol dirt roads.,d1ff4857e153dcca22fa60162c6026d9cf37b6163636c549186535b1c6f90caa9f3c5ff808f5516a70584a6a64fa93db
bitch.,42e7ba0ef8f327c10167ea6ff2e60e57
k babe.,6775a1c7734c6c32064d62395c34b709
where you at,f6abed855cdb5571db3d6279a2190117
