Plain_text,Key,Cipher_text
"like 2 weeks ago and it's going as terribly as i remember, but deg is still hilarious so it's ok",b'\xda\x7f\xe9\xdf\x1fvz\xfb\xcd\xf2ty\x9b\xa7P\x1d',625d195f17e84a160e51e4c96b4796f63456f14e46b976335f477bed23515a9ae8c9dbc515821390eea4b007461341fe9aaa1ae468fe4cc73837f95b7373601c15addc4568d8a70d9371843f7d9e76d01ad51ff241b2d8eec9ca7e9b899a802ac373c5204499d0feac79cdfeec1d9a3e
"literally never about that account, love it.",b'q\x98\xc7\xeaw\x1f>\x90\xc5\xbajZ]\xb9l\xd6',d9e3479b9ded8368d1779d06d9b9e0a503e1d9a21ae40918e064b7fc92563e19fd10905274469272d1093fc374f3f27c
answer me this fellow apple peoples: how many times in the past year have you used the escape key?,b'b\xbdO~\xb9Z.RE\xfa\xf3\xb7q\xbc\x91R',2e4deec4907057d1cd705fb8b1fb8b37325e551fca1bb2777654d0512468e4f09fdf7bad8e33594aa32f43cccb3fb2abbd63d11956c298203ffe4eb4f592254448e3a6af40ca99230c23e078a7a8c0cc085ceb35155849d1f3ff64947ac154025e3cfd71cbee9277676d38be0fcac116
about 50 times today. terminal vim user.,b'-\xec\x07t\x1c\xff\x92L\x19\xefNO\x97\xc9-\x14',4f87a78c20c1e444b4d9063a4d29516ce16bfed6aaaea81aecd6ea5a4328151829cbd2cd09541dd9d7fb47d129f8f370
seems the major complaints so far are from vim users like yourself. im wondering how force quit is gonna work.,b'!\xcf\x0b\xfb2\rv\xc4\xf1m\x18\xfa\xcaC\x96\xfa',ee308cb97bf28a076735149bde3342639db98ca1d42177aab029c649735d54246717237fa5b9a98b63d38f5a12500d827750aed4465eb0166d154c0587235b8ba69acd1b0d3e05003c7d60f19394c3106bec1a7fa0925e0b9cd7c31dc3f52d7456f4020bee2e884d2626c1dc252ff587
cmd+opt+esc is good but still available via menubar,b'S\r\xfd\t\xaf\x04\xfb1\xb7\xf5\x0eT\xf7\xa9a\x83',c1f9b238b78dd2f67709a715adefd1494e89454e93ff74c47eeb9cab3cbb2192119e7d09b05e676d4ed7913971f16e223aa1499bbe2ae9b24b7f399fb0ec3dcb
there was a greasy kid at highline who was basically miles dipped in a bucket of ranch,b'\xec}\xf1\x15\x80Hd\x8c\xb7\xd3\xa2\xc3\xb1\x1fL3',65e5371a0337eae40749324bfd49a9a308166556c1b6d5600abdaeba8e58a64f869592ff42a9472c1abf34e3e77f2a71e83c2acf62d55bf9f85a740686dada2f61c98512b8fada01127ab283caac3038f60f4201110de64e8ddaded736298dd6
i'm disgusted,b'\x00\x80\xf2\x0b\x0c\x1e1\xa0\x18aq\xf5`h\xa5\xfa',5d0554f657bbbc016b9cc7d2cdab46f1
he flashed us then we scored so he sadly put his shirt back on #fuckhighline,b'\xbdV\x1e\xc2\xf4\xc5\xbc\x82i\xc1\xdf<\x12\xc1\xb3\xc8',8fcc71567873cc2d67699b5fb88402e51d303291889f3911312aa4fd96445c1199daaf1c26947d8169ec0a166d18a928606c8aa99948c135f5fceba377654775fa1176647739b9bf1f937fdcbbd428f8
what a piece of shit,b'\xb2\x1dHs\xe20e\x93\xca\x97\x05\xfc\x97\xb10\xd9',9aaf28abc100fa0c3216d3846bc17cb1872972813d54537c11d1a354cfd2cfc2
